Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Serge Aurier,1,2,3,Tottenham Hotspur,France ,http://www.espnfc.co.uk/player/143576/serge-aurier
Francis Coquelin,1,2,3,Arsenal,France ,http://www.espnfc.co.uk/player/121406/francis-coquelin
Georges-Kévin N'Koudou,1,2,3,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/192055/georges-kevin-nkoudou
Thiago Alcántara,3,0,3,Bayern Munich,Italy ,http://www.espnfc.co.uk/player/135293/thiago-alcantara
Giorgio Chiellini,1,2,3,Juventus,Italy ,http://www.espnfc.co.uk/player/24836/giorgio-chiellini
Daniele Rugani,1,2,3,Juventus,Unknown,http://www.espnfc.co.uk/player/181673/daniele-rugani
Charly Musonda,1,2,3,Chelsea,Unknown,http://www.espnfc.co.uk/player/219780/charly-musonda
Blaise Matuidi,2,1,3,Paris Saint-Germain ,France ,http://www.espnfc.us/player/85010/blaise-matuidi
Maxime Lopez,1,2,3,Marseille,Unknown,http://www.espnfc.co.uk/player/223122/maxime-lopez
José Arnáiz,3,0,3,Barcelona,Unknown,http://www.espnfc.co.uk/player/229522/jose-arnaiz
Toby Alderweireld,1,1,2,Tottenham Hotspur,Belgium ,http://www.espnfc.co.uk/player/111306/toby-alderweireld
Jan Vertonghen,1,1,2,Tottenham Hotspur,Belgium ,http://www.espnfc.co.uk/player/125086/jan-vertonghen
Medhi Benatia,2,0,2,Juventus,Morocco ,http://www.espnfc.co.uk/player/102402/medhi-benatia
Virgil van Dijk,2,0,2,Liverpool,Unknown,http://www.espnfc.co.uk/player/157892/virgil-van-dijk
Divock Origi,1,1,2,Liverpool,Unknown,http://www.espnfc.co.uk/player/182033/divock-origi
Kenedy,1,1,2,Chelsea,Unknown,http://www.espnfc.co.uk/player/195349/kenedy
N'Golo Kanté,1,1,2,Chelsea,Unknown,http://www.espnfc.co.uk/player/173556/ngolo-kante
Achraf Hakimi,1,1,2,Real Madrid,Unknown,http://www.espnfc.co.uk/player/240233/achraf-hakimi
Vincent Janssen,2,0,2,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/188402/vincent-janssen
Lucas Digne,1,1,2,Barcelona,Unknown,http://www.espnfc.co.uk/player/160115/lucas-digne
Rafinha,1,1,2,Barcelona,Unknown,http://www.espnfc.co.uk/player/154814/rafinha
Brahim Diaz,2,0,2,Manchester City,Unknown,http://www.espnfc.co.uk/player/246532/brahim-diaz
Victor Wanyama,1,1,2,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/139703/victor-wanyama
Joe Gomez,0,2,2,Liverpool,Gambia ,http://www.espnfc.co.uk/player/102053/joe-gomez
Jemerson,2,0,2,AS Monaco,Brazil ,http://www.espnfc.co.uk/player/187396/jemerson
Ahmed Musa,1,1,2,Leicester City,Nigeria ,http://www.espnfc.co.uk/player/140658/ahmed-musa
Fabian Delph,1,1,2,Manchester City,England ,http://www.espnfc.co.uk/player/98926/fabian-delph
Ferran Torres,0,2,2,Valencia,Unknown,http://www.espnfc.co.uk/player/265869/ferran-torres
Harry Winks,1,1,2,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/202332/harry-winks
Fousseni Diabate,2,0,2,Leicester City,Unknown,http://www.espnfc.co.uk/player/219463/fousseni-diabate
Niklas Süle,1,1,2,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/186263/niklas-sule
Laurent Koscielny,2,0,2,Arsenal,France ,http://www.espnfc.co.uk/player/88970/laurent-koscielny
Andy King,1,1,2,Leicester City,England ,http://www.espnfc.co.uk/player/111350/andy-king
Franck Evina,2,0,2,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/259129/franck-evina
Adrien Silva,0,2,2,Leicester City,Portugal ,http://www.espnfc.co.uk/player/161607/adrien-silva
Sandro Wagner,2,0,2,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/103491/sandro-wagner
Mathieu Debuchy,1,1,2,Arsenal,France ,http://www.espnfc.co.uk/player/69458/mathieu-debuchy
Kwasi Okyere Wriedt,2,0,2,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/185801/kwasi-okyere-wriedt
Dejan Lovren,1,1,2,Liverpool,Croatia ,http://www.espnfc.co.uk/player/123560/dejan-lovren
Timothy Tillman,0,2,2,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/231192/timothy-tillman
Jordan Henderson,1,1,2,Liverpool,England ,http://www.espnfc.co.uk/player/127262/jordan-henderson
Ander Herrera,1,1,2,Manchester United,Spain ,http://www.espnfc.co.uk/player/131481/ander-herrera
Edward Nketiah,2,0,2,Arsenal,Unknown,http://www.espnfc.co.uk/player/259486/edward-nketiah
Vitolo,2,0,2,Atletico Madrid,Unknown,http://www.espnfc.co.uk/player/150803/vitolo
Marco Hingerl,2,0,2,Bayern Munich,Unknown,http://www.espnfc.co.uk/player/220814/marco-hingerl
David Luiz,2,0,2,Chelsea,Brazil ,http://www.espnfc.co.uk/player/98398/david-luiz
Ben Woodburn,2,0,2,Liverpool,Unknown,http://www.espnfc.co.uk/player/238724/ben-woodburn
Sebastian Rudy,0,2,2,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/108592/sebastian-rudy
Andrew Robertson,0,2,2,Liverpool,Unknown,http://www.espnfc.co.uk/player/104943/andrew-robertson
Ragnar Klavan,1,1,2,Liverpool,Estonia ,http://www.espnfc.co.uk/player/37085/ragnar-klavan
